Countries and Areas,BCG,DTP1,DTP3,Polio3,MCV1,MCV2,HepB3,Hib3,Rota,PCV3,PAB_against_tetanus,Pneumonia_with_ARI           
,Diarrhoea_with_ORS,Malaria_with_fever,Children_sleeping_under_ITN    ,Households_with_one_ITN
Ghana,98,97,97,98,92,83,97,97,94,96,89,56,49,77,52,68
Greece,0,99,99,99,97,83,96,99,20,96,0,0,0,0,0,0
Grenada,0,98,96,96,84,74,96,96,0,0,0,0,0,0,0,0
Guatemala,88,94,86,85,87,76,86,86,87,85,90,52,49,50,0,0
Guinea,72,63,45,45,48,0,45,45,0,0,80,83,55,62,27,44
Guinea0Bissau,91,89,88,89,86,0,88,88,88,88,83,34,35,51,81,90
Guyana,99,99,95,94,98,84,95,95,91,91,99,84,43,71,7,5
Haiti,83,84,64,64,69,38,64,64,58,1,81,37,39,40,18,31
Holy See,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Honduras,94,94,90,90,89,94,90,90,91,90,99,64,60,62,0,0
Hungary,99,99,99,99,99,99,0,99,0,99,0,0,0,0,0,0
Iceland,0,97,91,91,93,95,0,91,0,90,0,0,0,0,0,0
India,92,92,89,89,90,80,89,89,35,6,90,78,51,73,5,1
Indonesia,81,85,79,80,75,67,79,79,0,8,85,92,36,90,3,3
Iran (Islamic Republic of),99,99,99,99,99,98,99,99,0,0,95,76,61,0,0,0
Iraq,95,92,84,71,83,81,84,84,60,32,75,44,25,75,0,0
Ireland,0,98,94,94,92,0,94,94,89,90,0,0,0,0,0,0
Israel,0,99,98,98,98,96,97,98,81,94,0,0,0,0,0,0
Italy,0,98,95,95,93,89,95,94,19,92,0,0,0,0,0,0
Jamaica,93,99,97,98,89,82,97,98,0,0,90,82,64,0,0,0
Japan,99,99,99,97,97,93,0,99,0,98,0,0,0,0,0,0
Jordan,94,98,96,92,92,96,96,96,93,0,90,72,44,68,0,0
Kazakhstan,95,99,98,98,99,98,98,98,0,95,0,81,62,0,0,0
Kenya,95,97,92,81,89,45,92,92,78,81,88,66,54,72,56,59
Kiribati,89,98,95,93,84,79,95,95,97,94,0,81,62,27,0,0
